''',,,,,,,,,,,
Created,on,21,,,,,,,,,
,,,,,,,,,,,
@author:,pta,,,,,,,,,,
''',,,,,,,,,,,
JOBS,=,,,,,,,,,,
NUM_GEN,=,,,,,,,,,,
POPSIZE,=,,,,,,,,,,
PCROSS,=,,,,,,,,,,
PMUTATION,=,,,,,,,,,,
INDPB,=,,,,,,,,,,
PLOCALSEARCH,=,,,,,,,,,,
VERBOSE,=,,,,,,,,,,
MAX_TRAILS,=,,,,,,,,,,
MAX_TRAILS_LS,=,,,,,,,,,,
,MAX_TRAILS = 1,,,,MAX_TRAILS = 20,,,HOANG,,,
Problems,OUR,SIZE,TIME,,OUR,SIZE,TIME,,,,
A1-1-25-75-4.ctp,8479,7,0:05:37.621576,,8479,7,0:17:16.710561,8479,,1,1
A1-1-25-75-5.ctp,8479,7,0:11:22.440066,,8479,7,0:08:47.163478,8479,,1,1
A1-1-25-75-6.ctp,8479,7,0:05:46.649321,,8479,7,0:08:53.625358,8479,,1,1
A1-1-25-75-8.ctp,7985,7,0:09:30.377984,,7985,7,0:08:43.604013,7985,,1,1
A1-1-50-50-4.ctp,10481,10,0:14:08.675484,,10505,9,0:15:07.320212,10271,,0,0
A1-1-50-50-5.ctp,9731,9,0:13:55.899131,,9564,10,0:15:43.287572,9220,,1,0
A1-1-50-50-6.ctp,9453,10,0:06:57.489944,,9357,9,0:32:05.508894,9130,,1,0
A1-1-50-50-8.ctp,9287,9,0:13:46.969717,,9156,10,0:17:02.115001,9130,,1,0
A1-10-50-50-4.ctp,18982,18,0:19:14.376071,,18734,18,0:20:25.281545,17973,,1,0
A1-10-50-50-5.ctp,18042,19,0:09:26.435034,,16542,18,0:21:21.634339,15440,,1,0
A1-10-50-50-6.ctp,16632,19,0:18:50.211205,,15133,18,0:22:36.341922,14064,,1,0
A1-10-50-50-8.ctp,15117,19,0:09:00.206383,,14893,18,0:34:21.316277,13369,,1,0
A1-13-25-75-4.ctp,16615,15,0:15:49.846136,,16515,15,0:25:49.931104,0,,1,0
A1-13-25-75-5.ctp,14103,15,0:15:35.364658,,14074,15,0:13:19.426171,0,,1,0
A1-13-25-75-6.ctp,13871,15,0:15:08.287128,,13765,15,0:13:47.490820,0,,1,0
A1-13-25-75-8.ctp,13121,15,0:15:06.287037,,12931,15,0:14:29.802310,0,,1,0
A1-25-50-50-4.ctp,35726,30,0:26:27.556241,,33413,31,0:27:39.919950,0,,1,0
A1-25-50-50-5.ctp,32320,31,0:12:48.596529,,31102,31,0:29:15.572958,0,,1,0
A1-25-50-50-6.ctp,29784,30,0:12:52.744905,,30021,31,0:31:06.254305,0,,0,0
A1-25-50-50-8.ctp,26229,30,0:12:38.408328,,26724,31,0:34:32.005042,0,,0,0
A1-5-25-75-4.ctp,10827,7,0:11:30.855176,,10827,7,0:19:18.202809,10827,,1,1
A1-5-25-75-5.ctp,8659,7,0:11:09.124237,,8659,7,0:09:48.241499,8659,,1,1
A1-5-25-75-6.ctp,8659,7,0:05:41.585660,,8659,7,0:20:16.582280,8659,,1,1
A1-5-25-75-8.ctp,8265,7,0:10:49.022253,,8265,7,0:09:48.392593,8265,,1,1
A2-1-100-100-4.ctp,13256,10,0:16:22.746787,,12936,9,0:22:44.035390,11885,,1,0
A2-1-100-100-5.ctp,11392,9,0:16:17.830463,,11573,9,0:47:27.407938,10234,,0,0
A2-1-100-100-6.ctp,10827,10,0:16:10.268923,,10625,10,0:24:43.367240,10020,,1,0
A2-1-100-100-8.ctp,10432,9,0:15:55.404833,,10743,10,0:25:57.256016,9093,,0,0
A2-1-50-150-4.ctp,11893,9,0:07:16.991798,,11615,8,0:38:27.047187,11550,,1,0
A2-1-50-150-5.ctp,10669,10,0:07:18.119883,,10550,9,0:19:39.841580,10407,,1,0
A2-1-50-150-6.ctp,10446,9,0:07:16.698660,,10484,9,0:20:06.739068,10068,,0,0
A2-1-50-150-8.ctp,8904,8,0:07:16.943327,,8904,8,0:21:25.215183,8896,,1,0
A2-10-50-150-4.ctp,19187,16,0:17:40.021011,,18165,15,0:22:29.750097,17083,,1,0
A2-10-50-150-5.ctp,17038,15,0:08:47.078196,,16420,15,0:46:55.407160,14977,,1,0
A2-10-50-150-6.ctp,15617,15,0:12:52.239183,,15563,15,0:49:28.899301,13894,,1,0
A2-10-50-150-8.ctp,14053,15,0:17:11.997907,,14404,15,0:26:17.988848,11942,,0,0
A2-20-100-100-4.ctp,36591,29,0:13:35.187227,,35859,28,1:11:04.200683,26594,,1,0
A2-20-100-100-5.ctp,31792,29,0:13:26.186178,,32140,29,1:15:43.177582,23419,,0,0
A2-20-100-100-6.ctp,31903,31,0:13:18.103049,,30215,30,1:20:03.892022,20966,,1,0
A2-20-100-100-8.ctp,27701,28,0:26:29.241686,,27913,29,0:44:08.754009,18418,,0,0
A2-25-100-100-4.ctp,43845,33,0:30:12.216620,,43616,33,1:17:41.603983,31000,,1,0
A2-25-100-100-5.ctp,41108,35,0:14:51.058549,,39686,34,0:41:27.030864,26993,,1,0
A2-25-100-100-6.ctp,39154,35,0:14:30.060994,,38059,36,1:28:14.507286,24442,,1,0
A2-25-100-100-8.ctp,36796,35,0:14:35.854478,,35832,34,1:38:40.607097,20556,,1,0
B1-1-25-75-4.ctp,7146,6,0:10:35.007797,,7146,6,0:08:43.212001,7146,,1,1
B1-1-25-75-5.ctp,6901,6,0:05:17.311993,,6901,6,0:08:53.261947,6901,,1,1
B1-1-25-75-6.ctp,6450,6,0:05:11.812689,,6450,6,0:08:52.471132,6450,,1,1
B1-1-25-75-8.ctp,6450,6,0:07:12.666240,,6450,6,0:08:36.015401,6450,,1,1
B1-1-50-50-4.ctp,10107,8,0:06:20.497199,,10107,8,0:28:36.669211,10107,,1,1
B1-1-50-50-5.ctp,9723,8,0:06:16.917913,,9729,8,0:29:37.856401,9723,,0,0
B1-1-50-50-6.ctp,9438,9,0:12:49.800028,,9665,8,0:15:20.496500,9382,,0,0
B1-1-50-50-8.ctp,8568,9,0:06:16.925385,,8516,8,0:16:00.498158,8348,,1,0
B1-10-50-50-4.ctp,16012,16,0:08:43.152286,,16647,16,0:37:49.922198,15209,,0,0
B1-10-50-50-5.ctp,15155,16,0:17:26.864900,,14338,16,0:39:50.326233,13535,,1,0
B1-10-50-50-6.ctp,13701,17,0:17:05.116948,,13163,16,0:20:56.569520,12067,,1,0
B1-10-50-50-8.ctp,11897,16,0:08:27.792068,,11612,15,0:45:31.329636,10344,,1,0
B1-13-25-75-4.ctp,15134,15,0:07:28.777069,,15126,15,0:26:05.807918,0,,1,0
B1-13-25-75-5.ctp,12948,15,0:07:32.426870,,12855,15,0:13:34.563643,0,,1,0
B1-13-25-75-6.ctp,11827,15,0:07:24.729597,,11566,15,0:28:02.003944,0,,1,0
B1-13-25-75-8.ctp,10713,15,0:14:51.020556,,10642,15,0:14:54.493168,0,,1,0
B1-25-50-50-4.ctp,39033,31,0:25:53.241242,,39134,31,0:54:35.101976,0,,0,0
B1-25-50-50-5.ctp,35444,31,0:25:22.559320,,36238,31,0:57:40.596375,0,,0,0
B1-25-50-50-6.ctp,32065,31,0:25:14.780799,,31317,31,1:01:35.253972,0,,1,0
B1-25-50-50-8.ctp,30268,31,0:24:49.711041,,30527,32,0:34:25.335933,0,,0,0
B1-5-25-75-4.ctp,9465,8,0:11:50.587637,,9465,8,0:10:10.006291,9465,,1,1
B1-5-25-75-5.ctp,9460,8,0:05:47.506503,,9460,8,0:10:21.445345,9460,,1,1
B1-5-25-75-6.ctp,9148,8,0:05:44.505351,,9148,8,0:21:24.983378,9148,,1,1
B1-5-25-75-8.ctp,8306,8,0:11:37.744840,,8306,8,0:10:50.705858,8306,,1,1
B2-1-100-100-4.ctp,25266,21,0:11:31.304496,,23902,19,0:32:31.390792,18370,,1,0
B2-1-100-100-5.ctp,22215,18,0:11:25.771916,,20316,18,1:08:15.206227,15876,,1,0
B2-1-100-100-6.ctp,20824,19,0:11:17.965207,,20638,18,0:35:39.118773,14926,,1,0
B2-1-100-100-8.ctp,17904,16,0:22:21.857470,,17736,19,0:38:54.580641,13137,,1,0
B2-1-50-150-4.ctp,11716,8,0:07:19.453272,,11452,9,0:19:36.356822,11175,,1,0
B2-1-50-150-5.ctp,10837,8,0:07:10.509923,,10533,8,0:20:19.783505,10502,,1,0
B2-1-50-150-6.ctp,10195,9,0:14:26.622018,,10023,9,0:20:40.953825,9799,,1,0
B2-1-50-150-8.ctp,9124,8,0:14:17.892269,,9194,8,0:21:49.147916,8846,,0,0
B2-10-50-150-4.ctp,17776,16,0:18:49.271023,,18466,17,0:23:44.071043,16667,,0,0
B2-10-50-150-5.ctp,16994,16,0:09:14.788642,,16463,18,0:24:39.840353,14188,,1,0
B2-10-50-150-6.ctp,14971,16,0:18:36.427438,,14883,16,0:25:31.880574,12954,,1,0
B2-10-50-150-8.ctp,14937,17,0:08:50.852977,,13547,17,0:37:13.641236,11495,,1,0
B2-20-100-100-4.ctp,49864,37,0:32:23.305494,,48331,35,0:42:35.139863,34073,,1,0
B2-20-100-100-5.ctp,45674,37,0:15:32.668340,,44967,37,0:45:35.106159,29412,,1,0
B2-20-100-100-6.ctp,45654,38,0:15:40.112828,,41359,35,1:36:51.132576,25960,,1,0
B2-20-100-100-8.ctp,36985,37,0:15:16.354862,,38775,37,0:54:00.123516,22156,,0,0
B2-25-100-100-4.ctp,54927,40,0:17:22.026827,,57172,41,1:31:00.338921,37614,,0,0
B2-25-100-100-5.ctp,53666,40,0:17:00.589989,,51513,41,0:48:15.029355,32240,,1,0
B2-25-100-100-6.ctp,51021,43,0:31:25.633882,,47096,44,1:42:56.651462,28581,,1,0
B2-25-100-100-8.ctp,44723,41,0:33:50.229945,,45296,45,0:57:41.106444,24089,,0,0
C1-1-25-75-4.ctp,6161,4,0:09:12.421425,,6161,4,0:16:51.419457,6161,,1,1
C1-1-25-75-5.ctp,6161,4,0:09:04.885620,,6161,4,0:16:17.322538,6161,,1,1
C1-1-25-75-6.ctp,6161,4,0:08:43.333444,,6161,4,0:15:49.030910,6161,,1,1
C1-1-25-75-8.ctp,6161,4,0:08:29.701542,,6161,4,0:16:11.039348,6161,,1,1
C1-1-50-50-4.ctp,11637,9,0:14:16.214729,,11372,10,0:29:19.344956,11372,,1,1
C1-1-50-50-5.ctp,9972,9,0:14:07.564285,,10137,9,0:30:28.622304,9900,,0,0
C1-1-50-50-6.ctp,9895,9,0:14:00.577928,,9900,9,0:31:46.703897,9895,,0,0
C1-1-50-50-8.ctp,8712,9,0:13:45.686878,,8784,9,0:33:31.261739,8699,,0,0
C1-10-50-50-4.ctp,20072,16,0:17:55.917297,,20508,16,0:38:41.472040,18212,,0,0
C1-10-50-50-5.ctp,18198,17,0:17:28.476135,,17883,17,0:41:00.842337,16362,,1,0
C1-10-50-50-6.ctp,16268,17,0:17:32.920501,,15946,16,0:42:53.942329,14749,,1,0
C1-10-50-50-8.ctp,15470,16,0:17:25.481783,,13839,16,0:46:27.152732,12414,,1,0
C1-13-25-75-4.ctp,18655,16,0:16:34.190003,,18621,16,0:26:40.896741,0,,1,0
C1-13-25-75-5.ctp,17469,16,0:16:02.776235,,16977,16,0:27:42.302730,0,,1,0
C1-13-25-75-6.ctp,16252,16,0:15:52.332294,,16228,16,0:28:25.512735,0,,1,0
C1-13-25-75-8.ctp,13869,16,0:15:51.658328,,13820,16,0:29:32.429366,0,,1,0
C1-25-50-50-4.ctp,38313,31,0:26:08.490171,,36513,32,0:55:17.395675,0,,1,0
C1-25-50-50-5.ctp,34301,33,0:25:24.995346,,32940,31,0:58:49.330181,0,,1,0
C1-25-50-50-6.ctp,32255,31,0:25:11.596528,,31869,31,1:02:46.096941,0,,1,0
C1-25-50-50-8.ctp,29833,32,0:25:25.380459,,27882,31,1:09:35.984765,0,,1,0
C1-5-25-75-4.ctp,9898,8,0:11:35.752278,,9898,8,0:20:06.486875,9898,,1,1
C1-5-25-75-5.ctp,9707,8,0:11:28.173460,,9707,8,0:20:23.006596,9707,,1,1
C1-5-25-75-6.ctp,9321,8,0:11:35.381372,,9321,8,0:20:44.565394,9321,,1,1
C1-5-25-75-8.ctp,7474,8,0:11:10.708683,,7474,8,0:20:18.599975,7474,,1,1
D1-1-25-75-4.ctp,7671,6,0:11:07.819397,,7671,6,0:17:21.757595,7671,,1,1
D1-1-25-75-5.ctp,7465,6,0:11:06.187947,,7465,6,0:17:40.246181,7465,,1,1
D1-1-25-75-6.ctp,6651,6,0:10:52.296012,,6651,6,0:17:29.125399,6651,,1,1
D1-1-25-75-8.ctp,6651,6,0:09:39.806633,,6651,6,0:16:41.755877,6651,,1,1
D1-1-50-50-4.ctp,11625,9,0:14:50.426160,,11625,9,0:31:28.843918,11606,,1,0
D1-1-50-50-5.ctp,10993,9,0:14:31.795079,,10993,9,0:32:51.937019,10770,,1,0
D1-1-50-50-6.ctp,10953,11,0:14:30.834652,,10770,10,0:34:07.198587,10680,,1,0
D1-1-50-50-8.ctp,9459,9,0:14:17.573586,,9380,9,0:36:00.819049,9361,,1,0
D1-10-50-50-4.ctp,23710,17,0:18:50.055999,,22965,17,0:40:22.172931,20982,,1,0
D1-10-50-50-5.ctp,21287,17,0:18:57.648268,,20873,17,0:42:27.635226,18576,,1,0
D1-10-50-50-6.ctp,18627,17,0:18:52.043697,,17970,17,0:44:37.089929,16330,,1,0
D1-10-50-50-8.ctp,17309,18,0:13:48.190138,,17550,19,0:48:10.647747,14204,,0,0
D1-13-25-75-4.ctp,19617,15,0:16:35.353912,,19977,16,0:26:16.185080,0,,0,0
D1-13-25-75-5.ctp,16777,15,0:16:12.899934,,17049,15,0:27:24.519751,0,,0,0
D1-13-25-75-6.ctp,15945,15,0:15:33.013873,,15945,15,0:28:02.615963,0,,1,0
D1-13-25-75-8.ctp,14728,15,0:15:42.136483,,14664,15,0:25:20.135981,0,,1,0
D1-25-50-50-4.ctp,44911,32,0:27:19.179492,,43947,32,0:54:12.442075,0,,1,0
D1-25-50-50-5.ctp,38666,32,0:27:02.624450,,40411,33,0:57:54.721358,0,,0,0
D1-25-50-50-6.ctp,37825,33,0:26:31.582418,,35924,33,1:01:07.116854,0,,1,0
D1-25-50-50-8.ctp,31935,32,0:26:37.596497,,31751,33,1:07:25.534827,0,,1,0
D1-5-25-75-4.ctp,11820,8,0:12:08.159557,,11820,8,0:20:34.202226,11820,,1,1
D1-5-25-75-5.ctp,10982,8,0:12:18.128124,,10982,8,0:20:50.218643,10982,,1,1
D1-5-25-75-6.ctp,9676,8,0:12:12.126360,,9669,9,0:21:47.897190,9669,,1,1
D1-5-25-75-8.ctp,8200,8,0:12:04.535306,,8200,8,0:22:08.290667,8200,,1,1
,,,,,,,,,,,
,,,,,,,,,,0.7941176471,0.25
